click at (501, 351) on 2024-10-05T10:56:26.185Z
mousedown at (436, 274) on 2024-10-05T10:56:28.128Z
mouseup at (436, 274) on 2024-10-05T10:56:28.216Z
click at (436, 274) on 2024-10-05T10:56:28.216Z
mousedown at (411, 255) on 2024-10-05T10:56:34.992Z
mouseup at (411, 255) on 2024-10-05T10:56:35.088Z
click at (411, 255) on 2024-10-05T10:56:35.089Z
mousedown at (413, 256) on 2024-10-05T10:56:36.297Z
mouseup at (413, 256) on 2024-10-05T10:56:36.376Z
click at (413, 256) on 2024-10-05T10:56:36.377Z
mousedown at (413, 247) on 2024-10-05T10:56:37.288Z
mouseup at (413, 247) on 2024-10-05T10:56:37.361Z
click at (413, 247) on 2024-10-05T10:56:37.362Z
mousedown at (391, 259) on 2024-10-05T10:56:40.272Z
mouseup at (391, 259) on 2024-10-05T10:56:40.360Z
click at (391, 259) on 2024-10-05T10:56:40.361Z
mousedown at (441, 314) on 2024-10-05T10:56:41.432Z
mouseup at (416, 452) on 2024-10-05T10:56:42.675Z
click at (416, 452) on 2024-10-05T10:56:42.675Z
mousedown at (325, 297) on 2024-10-05T10:56:47.800Z
mouseup at (325, 297) on 2024-10-05T10:56:47.880Z
click at (325, 297) on 2024-10-05T10:56:47.880Z
mousedown at (319, 238) on 2024-10-05T10:56:50.032Z
mouseup at (319, 238) on 2024-10-05T10:56:50.120Z
click at (319, 238) on 2024-10-05T10:56:50.120Z
mousedown at (376, 193) on 2024-10-05T10:56:56.520Z
mouseup at (376, 193) on 2024-10-05T10:56:56.600Z
click at (376, 193) on 2024-10-05T10:56:56.601Z
mousedown at (419, 168) on 2024-10-05T10:56:58.625Z
mouseup at (419, 168) on 2024-10-05T10:56:58.690Z
click at (419, 168) on 2024-10-05T10:56:58.691Z
mousedown at (317, 235) on 2024-10-05T10:57:03.240Z
mouseup at (317, 235) on 2024-10-05T10:57:03.320Z
click at (317, 235) on 2024-10-05T10:57:03.321Z
mousedown at (310, 236) on 2024-10-05T10:57:06.096Z
mouseup at (310, 236) on 2024-10-05T10:57:06.192Z
click at (310, 236) on 2024-10-05T10:57:06.193Z
mousedown at (400, 253) on 2024-10-05T10:57:15.344Z
mouseup at (400, 253) on 2024-10-05T10:57:15.432Z
click at (400, 253) on 2024-10-05T10:57:15.433Z
mousedown at (487, 164) on 2024-10-05T10:57:17.785Z
mouseup at (487, 164) on 2024-10-05T10:57:17.861Z
click at (487, 164) on 2024-10-05T10:57:17.862Z
mousedown at (586, 203) on 2024-10-05T10:57:22.505Z
mouseup at (586, 203) on 2024-10-05T10:57:22.596Z
click at (586, 203) on 2024-10-05T10:57:22.597Z
mousedown at (626, 183) on 2024-10-05T10:57:24.624Z
mouseup at (626, 183) on 2024-10-05T10:57:24.696Z
click at (626, 183) on 2024-10-05T10:57:24.697Z
mousedown at (424, 265) on 2024-10-05T10:57:30.480Z
mouseup at (424, 265) on 2024-10-05T10:57:30.558Z
click at (424, 265) on 2024-10-05T10:57:30.559Z
mousedown at (471, 220) on 2024-10-05T10:57:32.712Z
mouseup at (471, 220) on 2024-10-05T10:57:33.575Z
mousedown at (471, 217) on 2024-10-05T10:57:33.824Z
mouseup at (471, 217) on 2024-10-05T10:57:33.928Z
click at (471, 217) on 2024-10-05T10:57:33.929Z
mousedown at (553, 282) on 2024-10-05T10:57:37.256Z
mouseup at (534, 274) on 2024-10-05T10:57:42.680Z
click at (534, 274) on 2024-10-05T10:57:42.681Z
mousedown at (400, 126) on 2024-10-05T10:57:57.752Z
